Ville; Prix; Surface; NbrChambre; NbrPiece; Date; MatchCriteria; WebSite; ToCheck; UrlDetail
VIRY CHATILLON; 305000; 110; 4; 6; 20/05/2017 23:11:49; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-viry-chatillon,6029,734146,fr.html
LES PAVILLONS SOUS BOIS; 315000; 80; 2; 3; 20/05/2017 23:11:49; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-les-pavillons-sous-bois,6029,1638490,fr.html
SAINT MAURICE SUR MOSELLE; 320000; 190; 3; 7; 20/05/2017 23:11:49; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-saint-maurice-sur-moselle,6029,8586618,fr.html
MONTREUIL; 320000; 74; 2; 3; 20/05/2017 23:11:50; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,1305299,fr.html
STIGNY; 334000; 250; 4; 8; 20/05/2017 23:11:51; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-stigny,6029,950300,fr.html
LIVRY GARGAN; 345000; 125; 4; 5; 20/05/2017 23:11:52; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1327459,fr.html
CHELLES; 352000; 115; 4; 5; 20/05/2017 23:11:52; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-chelles,6029,1310710,fr.html
SEVRAN; 354000; 122; 4; 5; 20/05/2017 23:11:53; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-sevran,6029,828090,fr.html
THIAIS; 360000; 88; 3; 4; 20/05/2017 23:11:53; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-thiais,6029,1581932,fr.html
DRANCY; 360000; 120; 4; 5; 20/05/2017 23:11:53; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-drancy,6029,1669979,fr.html
LES PAVILLONS SOUS BOIS; 365000; 120; 3; 5; 20/05/2017 23:11:54; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-les-pavillons-sous-bois,6029,1373088,fr.html
SEVRAN; 379000; 200; 4; 4; 20/05/2017 23:11:54; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-sevran,6029,814347,fr.html
CHAMPIGNY SUR MARNE; 395000; 105; 3; 6; 20/05/2017 23:11:54; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-champigny-sur-marne,6029,1277549,fr.html
MONTREUIL; 399000; 230; 4; 9; 20/05/2017 23:11:54; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,m05974,fr.html
SAINT BRIEUC; 414000; 210; 4; 8; 20/05/2017 23:11:54; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-saint-brieuc,6029,1581331,fr.html
EPONE; -666; 200; 5; 6; 20/05/2017 23:11:55; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-epone,6029,1465413,fr.html
LIVRY GARGAN; 475000; 186; 5; 6; 20/05/2017 23:11:55; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1320270,fr.html
FONTENAY SOUS BOIS; 485000; 120; 5; 6; 20/05/2017 23:11:55; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-fontenay-sous-bois,6029,1661059,fr.html
VITRY SUR SEINE; 510000; 170; 6; 9; 20/05/2017 23:11:56; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-vitry-sur-seine,6029,1574976,fr.html
LIVRY GARGAN; 540000; 230; 4; 6; 20/05/2017 23:11:56; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1326750,fr.html
MONTREUIL; 540000; 185; 4; 7; 20/05/2017 23:11:56; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,833160,fr.html
BONNEUIL SUR MARNE; 570000; 140; 4; 5; 20/05/2017 23:11:57; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-bonneuil-sur-marne,6029,1623225,fr.html
ENTRECHAUX; 599000; 300; 7; 10; 20/05/2017 23:11:57; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-entrechaux,6029,972468,fr.html
EVRY GREGY SUR YERRE; 599000; 250; 6; 8; 20/05/2017 23:11:57; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-evry-gregy-sur-yerre,6029,1661329,fr.html
DRAGUIGNAN; 655000; 175; 3; 6; 20/05/2017 23:11:58; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-mas-draguignan,6029,1117604,fr.html
NOGENT SUR MARNE; 660000; 94; 2; 5; 20/05/2017 23:11:58; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-nogent-sur-marne,6029,1664070,fr.html
MONTREUIL; 670000; 260; 5; 10; 20/05/2017 23:11:58; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,1254084,fr.html
BRAY SUR SEINE; 700000; 180; 4; 7; 20/05/2017 23:11:58; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-propriete-bray-sur-seine,6029,1424098,fr.html
CLAYE SOUILLY; 720000; 100; 4; 3; 20/05/2017 23:11:59; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-claye-souilly,6029,1609351,fr.html
LES LILAS; 730000; 180; 2; 6; 20/05/2017 23:11:59; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-les-lilas,6029,1331076,fr.html
FONTENAY SOUS BOIS; 730000; 184; 4; 6; 20/05/2017 23:12:00; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-fontenay-sous-bois,6029,1705253,fr.html
NOGENT SUR MARNE; 765000; 100; 3; 4; 20/05/2017 23:12:00; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-nogent-sur-marne,6029,738505,fr.html
MAISONS ALFORT; 775000; -666; 4; 6; 20/05/2017 23:12:00; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-maisons-alfort,6029,1235262,fr.html
CRETEIL; 790000; 200; 2; 6; 20/05/2017 23:12:01; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-creteil,6029,783087,fr.html
VENCE; 795000; 165; 2; 4; 20/05/2017 23:12:02; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-vence,6029,796209,fr.html
DIGES; 800000; 630; 5; 13; 20/05/2017 23:12:02; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-diges,6029,962686,fr.html
LE RAINCY; 800000; 264; 5; 8; 20/05/2017 23:12:02; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-le-raincy,6029,1228575,fr.html
LA VARENNE SAINT HILAIRE; 840000; 130; 4; 7; 20/05/2017 23:12:02; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-la-varenne-saint-hilaire,6029,1703812,fr.html
LIVRY GARGAN; 840000; 200; 4; 6; 20/05/2017 23:12:03; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1250019,fr.html
PARENTIS EN BORN; 945000; 250; 4; 7; 20/05/2017 23:12:03; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-parentis-en-born,6029,m04531,fr.html
LE PERREUX SUR MARNE; 990000; 168; 4; 6; 20/05/2017 23:12:03; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-le-perreux-sur-marne,6029,1293036,fr.html
JOINVILLE LE PONT; 1080000; 145; 4; 7; 20/05/2017 23:12:04; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-joinville-le-pont,6029,737899,fr.html
FONTENAY SOUS BOIS; 1100000; 343; 4; 10; 20/05/2017 23:12:04; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-fontenay-sous-bois,6029,930417,fr.html
