Ville; Prix; Surface; NbrChambre; NbrPiece; Date; MatchCriteria; WebSite; ToCheck; UrlDetail
9212 MONTROUGE; 80000; -666; -666; -666; 25/05/2017 22:40:25; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1443-viager-occupe
9212 MONTROUGE; 26000; -666; -666; -666; 25/05/2017 22:40:25; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1470-messier-parking-de-14m
9212 MONTROUGE; 25000; -666; -666; -666; 25/05/2017 22:40:24; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1385-parking-en-sous-sol
NOGENT SUR MARNE; 770000; -666; -666; -666; 25/05/2017 22:40:24; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1460-nogent-bois-5p-avec-balcon-terrasse
VINCENNES; 770000; -666; -666; -666; 25/05/2017 22:40:23; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1473-nogent-bois-4p-avec-balcon-terrasse
9531 SAINT OUEN L AUMONE; 82000; -666; -666; -666; 25/05/2017 22:40:22; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1511-saint-ouen-l-aumone-studio-en-duplex
923 LEVALLOIS PERRET; 344000; -666; -666; -666; 25/05/2017 22:40:22; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1489-levallois-2p-avec-terrasse
9212 MONTROUGE; 625000; -666; -666; -666; 25/05/2017 22:40:22; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1499-montrouge-4p-avec-terrasse
9212 MONTROUGE; 599000; -666; -666; -666; 25/05/2017 22:40:21; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1518-5pieces-de-92m-au-pied-des-commerces
9229 CHATENAY MALABRY; 284000; -666; -666; -666; 25/05/2017 22:40:21; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1500-3p-en-rez-de-jardin
9212 MONTROUGE; 90100; -666; -666; -666; 25/05/2017 22:40:21; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1521-fonds-de-commerce-montrouge
9235 LE PLESSIS ROBINSON; 418000; -666; -666; -666; 25/05/2017 22:40:20; False; www.regardsimmobilier.fr; True; http://www.regardsimmobilier.fr/index.php/nos-offres/vente/1517-plessis-robinson-3p
MONTREUIL; 315000; 93100; 93100; 93100; 25/05/2017 22:40:30; True; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/630-2-Pieces.html
VINCENNES; 470000; 94300; 94300; 94300; 25/05/2017 22:40:29; True; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/636-Appartement-3-pieces-51-06-m2.html
; -666; -666; -666; -666; 25/05/2017 22:40:28; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/621-FONTENAY-A-2-PAS-DU-BOIS.html
VINCENNES; 545000; 94300; 94300; 94300; 25/05/2017 22:40:27; True; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/627-3-PIECES-VINCENNES-DEFRANCE-PROCHE-BOIS.html
VINCENNES; 565000; 94300; 94300; 94300; 25/05/2017 22:40:26; True; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/615-VINCENTES-CARRE-MAGIQUE.html
VINCENNES; 585000; 94300; 94300; 94300; 25/05/2017 22:40:25; True; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/629-5-PIECES-VINCENNES-LIMITE-FONTENAY.html
VINCENNES; 620000; 94300; 94300; 94300; 25/05/2017 22:40:24; True; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/637-Appartement-5-pieces-80-1m2.html
FONTENAY SOUS BOIS; 699000; 94120; 94120; 94120; 25/05/2017 22:40:23; True; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/626-4-PIECES-FONTENAY-PEPINIERE.html
VINCENNES; 895000; 94300; 94300; 94300; 25/05/2017 22:40:22; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/599-MAISON-DE-5-PIECES-VINCENNES.html
PARTICULIER FONTENAY SOUS BOIS; 3700000; 700; 11; 11; 25/05/2017 22:40:52; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-hotel-particulier-fontenay-sous-bois,6029,890019,fr.html
QUINCY VOISINS; 2900000; 700; 15; 15; 25/05/2017 22:40:52; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-quincy-voisins,6029,785979,fr.html
PARIS 5EME; -666; -666; -666; -666; 25/05/2017 22:40:51; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-immeuble-paris-5eme,6029,1678189,fr.html
ROQUEBRUNE CAP MARTIN; 2500000; 240; 5; 5; 25/05/2017 22:40:51; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-roquebrune-cap-martin,6029,1233868,fr.html
PONT L ABBE; -666; -666; -666; -666; 25/05/2017 22:40:51; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-pont-l-abbe,6029,1624743,fr.html
COUTARNOUX; 1500000; -666; 39; 39; 25/05/2017 22:40:50; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-chateau-coutarnoux,6029,005910,fr.html
MONTREUIL; 1480000; 418; 10; 10; 25/05/2017 22:40:50; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,886197,fr.html
MONTREUIL; 1470000; 430; 7; 7; 25/05/2017 22:40:50; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,m04758,fr.html
NOISY LE GRAND; 1420000; 375; 11; 11; 25/05/2017 22:40:49; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-noisy-le-grand,6029,1268226,fr.html
NOGENT SUR MARNE; 1300000; 200; 7; 7; 25/05/2017 22:40:49; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-nogent-sur-marne,6029,m06134,fr.html
MONTREUIL; 1275000; 347; 8; 8; 25/05/2017 22:40:49; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,1362872,fr.html
LE RAINCY; 1260000; 253; 8; 8; 25/05/2017 22:40:48; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-villa-le-raincy,6029,1221176,fr.html
BRY SUR MARNE; 1250000; 220; 7; 7; 25/05/2017 22:40:48; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-villa-bry-sur-marne,6029,1028488,fr.html
FONTENAY SOUS BOIS; 1100000; 343; 10; 10; 25/05/2017 22:40:47; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-fontenay-sous-bois,6029,930417,fr.html
JOINVILLE LE PONT; 1080000; 145; 7; 7; 25/05/2017 22:40:46; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-joinville-le-pont,6029,737899,fr.html
LE PERREUX SUR MARNE; 990000; 168; 6; 6; 25/05/2017 22:40:45; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-le-perreux-sur-marne,6029,1293036,fr.html
PARENTIS EN BORN; 945000; 250; 7; 7; 25/05/2017 22:40:45; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-parentis-en-born,6029,m04531,fr.html
VIRY CHATILLON; 840000; 300; 8; 8; 25/05/2017 22:40:44; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-viry-chatillon,6029,1736502,fr.html
LIVRY GARGAN; 840000; 200; 6; 6; 25/05/2017 22:40:44; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1250019,fr.html
LA VARENNE SAINT HILAIRE; 840000; 130; 7; 7; 25/05/2017 22:40:44; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-la-varenne-saint-hilaire,6029,1703812,fr.html
DIGES; 800000; 630; 13; 13; 25/05/2017 22:40:43; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-diges,6029,962686,fr.html
LE RAINCY; 800000; 264; 8; 8; 25/05/2017 22:40:43; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-le-raincy,6029,1228575,fr.html
VENCE; 795000; 165; 4; 4; 25/05/2017 22:40:43; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-vence,6029,796209,fr.html
CRETEIL; 790000; 200; 6; 6; 25/05/2017 22:40:42; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-creteil,6029,783087,fr.html
MAISONS ALFORT; 775000; -666; 6; 6; 25/05/2017 22:40:42; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-maisons-alfort,6029,1235262,fr.html
NOGENT SUR MARNE; 765000; 100; 4; 4; 25/05/2017 22:40:41; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-nogent-sur-marne,6029,738505,fr.html
FONTENAY SOUS BOIS; 730000; 184; 6; 6; 25/05/2017 22:40:41; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-fontenay-sous-bois,6029,1705253,fr.html
LES LILAS; 730000; 180; 6; 6; 25/05/2017 22:40:39; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-les-lilas,6029,1331076,fr.html
CLAYE SOUILLY; 720000; 100; 3; 3; 25/05/2017 22:40:38; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-claye-souilly,6029,1609351,fr.html
BRAY SUR SEINE; 700000; 180; 7; 7; 25/05/2017 22:40:38; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-propriete-bray-sur-seine,6029,1424098,fr.html
MONTREUIL; 670000; 260; 10; 10; 25/05/2017 22:40:37; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,1254084,fr.html
NOGENT SUR MARNE; 660000; 94; 5; 5; 25/05/2017 22:40:37; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-nogent-sur-marne,6029,1664070,fr.html
DRAGUIGNAN; 655000; 175; 6; 6; 25/05/2017 22:40:36; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-mas-draguignan,6029,1117604,fr.html
ENTRECHAUX; 599000; 300; 10; 10; 25/05/2017 22:40:36; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-entrechaux,6029,972468,fr.html
EVRY GREGY SUR YERRE; 599000; 250; 8; 8; 25/05/2017 22:40:34; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-evry-gregy-sur-yerre,6029,1661329,fr.html
BONNEUIL SUR MARNE; 570000; 140; 5; 5; 25/05/2017 22:40:33; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-bonneuil-sur-marne,6029,1623225,fr.html
LIVRY GARGAN; 540000; 230; 6; 6; 25/05/2017 22:40:33; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1326750,fr.html
MONTREUIL; 540000; 185; 7; 7; 25/05/2017 22:40:32; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,833160,fr.html
VITRY SUR SEINE; 510000; 170; 9; 9; 25/05/2017 22:40:32; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-vitry-sur-seine,6029,1574976,fr.html
LIVRY GARGAN; 475000; 186; 6; 6; 25/05/2017 22:40:31; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1320270,fr.html
EPONE; -666; 200; 6; 6; 25/05/2017 22:40:31; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-epone,6029,1465413,fr.html
SAINT BRIEUC; 414000; 210; 8; 8; 25/05/2017 22:40:30; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-saint-brieuc,6029,1581331,fr.html
MONTREUIL; 405600; -666; 4; 4; 25/05/2017 22:40:30; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,1733004,fr.html
MONTREUIL; 399000; 230; 9; 9; 25/05/2017 22:40:29; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,m05974,fr.html
CHAMPIGNY SUR MARNE; 395000; 105; 6; 6; 25/05/2017 22:40:28; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-champigny-sur-marne,6029,1277549,fr.html
SEVRAN; 379000; 200; 4; 4; 25/05/2017 22:40:27; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-sevran,6029,814347,fr.html
LES PAVILLONS SOUS BOIS; 365000; 120; 5; 5; 25/05/2017 22:40:26; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-les-pavillons-sous-bois,6029,1373088,fr.html
DRANCY; 360000; 120; 5; 5; 25/05/2017 22:40:26; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-drancy,6029,1669979,fr.html
SEVRAN; 354000; 122; 5; 5; 25/05/2017 22:40:26; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-sevran,6029,828090,fr.html
CHELLES; 349000; 115; 5; 5; 25/05/2017 22:40:25; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-chelles,6029,1310710,fr.html
LIVRY GARGAN; 345000; 125; 5; 5; 25/05/2017 22:40:24; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1327459,fr.html
STIGNY; 334000; 250; 8; 8; 25/05/2017 22:40:23; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-stigny,6029,950300,fr.html
MONTREUIL; 320000; 74; 3; 3; 25/05/2017 22:40:23; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,1305299,fr.html
SAINT MAURICE SUR MOSELLE; 320000; 190; 7; 7; 25/05/2017 22:40:21; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-saint-maurice-sur-moselle,6029,8586618,fr.html
LES PAVILLONS SOUS BOIS; 315000; 80; 3; 3; 25/05/2017 22:40:21; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-les-pavillons-sous-bois,6029,1638490,fr.html
BRY SUR MARNE; 697000; 120; 0; 120; 25/05/2017 22:40:30; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/4-40-26_20647796/maison-bry-sur-marne.html
